AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,Unnamed: 60,sheet
,Voc Tech,26-Electrical,,26,15,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,PV System Net Output Meter (Solar),,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(south),,,,E1.1; E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,,24.0,,Category: PV System Inverter (Solar),,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,,,,,,E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,Site,24.0,,Transformer,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,Site,(south),,,,E1.1; E6.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PIAA,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PIAB,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PIBB,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PIBA,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,DLP1,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PDU A,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Power Distribution Unit,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107A,MDF,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PIE,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107A,MDF,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,UPS,City,,,,,,,,,,,,TBD,,,,,1,24.0,,UPS,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107A,MDF,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,1,24.0,,GMS Transmitter Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,1,24.0,,EMS Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Security Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,HL1,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,HP1,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107,Electrical Room,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,FACP,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Fire Alarm Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107A,MDF,,,,E2.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PID,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-110A,Skincare Treatment,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,PIC,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-112A,Skincare Treatment,,,,E2.1; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,1,24.0,,Security Communicator,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-107A,MDF,,,,E2.1,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2AA,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2AB,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2BB,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2BA,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,DLP2,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,2,24.0,,GMS Transmitter Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,2,24.0,,EMS Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Security Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2D,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-210,Junior Lab,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2C,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-210,Junior Lab,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,HP2,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205,Electrical Room,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2E,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-213A,Lab Equipment,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,P2F,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-213A,Lab Equipment,,,,E2.2; E6.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,SNAC-2,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Fire Alarm Panel,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205A,IDF,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
,Voc Tech,26-Electrical,,26,,City,,,,,,,,,,,,TBD,,,,,2,24.0,,Security Communicator,,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,,,V-205A,IDF,,,,E2.2,,,,,,TBD,Yes,,,,,,11220
