AssetIDNo,Building,CSI,CSI Div,CSIDiv,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,Voc Tech,10-Specialties,,10,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Signage - Rooms,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,?,No,,TBD,TBD,,,,,,24.0,,Category: Fixed Projection Screens (motorized and manual),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Classroom,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Glove dispesner,Yes,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,No,No,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Coffee Maker (i.e. Airpot; Expresso Machine/Grinder),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Dishwasher,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Food Service Equipment (Other / Specialized),No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Freezer / Walk-in Cooler -- Fixed,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Freezer / Walk-in Cooler -- Non-Fixed,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Ice Maker,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Microwave,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Mixer/Blender,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Prep Sink,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Oven,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: POS cash register / point of sale,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,Yes,Yes,,TBD,TBD,,,,,,24.0,,Category: Water Filration System,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Food Service Sinks / Dipperwell Assembly,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Freezer Merchandiser,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,Yes,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
,Voc Tech,11-Equipment,,11,,City,,,,,,,,No,No,,TBD,TBD,,,,,,24.0,,Category: Garbage disposer,No,,,,,,,TBD,,TBD,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,Food-Service,,,,TBD,TBD,No,,,,,11220
