AssetIDNo,Building,CSI,CSI Div,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,Voc Tech,23-HVAC,23,,City,,,,,,,,No,No,,TBD,,,,,,,24.0,,Exterior Grilles,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,No,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,16,Office Workstations,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,16,Office Workstations,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,16,Office Workstations,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,18,Briefing Training,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,18,Briefing Training,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-2,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,19,Staff Break,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,19,Staff Break,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,19,Staff Break,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,11,Fitness Center,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,8,Ammo Gun Storage,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,8,Ammo Gun Storage,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,4,Suspect Processing,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,LL,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,4,Suspect Processing,,,,M2.0,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,115,Senior Lab 2,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-6,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,115,Senior Lab 2,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-6,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,115,Senior Lab 2,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-6,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,114,Senior Lab 1,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-6,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,114,Senior Lab 1,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,112,Student Break,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,112,Student Break,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,112,Student Break,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,111,Admin Work,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,110,Admin Office,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,121,Hallway,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,120,Police Reception,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,117,Officer Workstation,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,119,Admin Office,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,127,Student Lockers,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,127,Student Lockers,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,130,Fac Office,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,128,Dispensary Supply,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,132,Hallway,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,134,Fac Office,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,FC-1,City,,,,,,,,,,,,,,,,,1,24.0,,FC,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,106,MDF Room,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,103,Women's ,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-2,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,103,Women's ,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,137,Lecture Classroom,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,137,Lecture Classroom,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,1,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,137,Lecture Classroom,,,,M2.1,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-4,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-1,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-6,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,211,Junior Lab 1,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,216,Freshman Lab,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,216,Freshman Lab,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-2,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,218,Junior Shampoo,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-3,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,218,Junior Shampoo,,,,M2.2,,,,,,,Yes,,,,,11220
,Voc Tech,23-HVAC,23,VAV-5,City,,,,,,,,,,,,,,,,,2,24.0,,VAV,,,,,,,,,,,,,,11220.0,,Career Technology Center,,,218,Junior Shampoo,,,,M2.2,,,,,,,Yes,,,,,11220
