P,Campus,Proj #,Project Description,DSA_Cert,DSA_Cert_Count,LEED Cert Recd?,Photos in SP?,GIS Updated?,Minutes on File?,Soils Report on File?,Record Dwgs on File?,BIM on file?,Commissioning Report on File?,DSA #,LEED Cert Target,LEED Cert Received Year,LEED Documentation Letter/Plaque Up?,# Photos in SP,Minutes CM13 vs SP,,Labor Warranties Filed / Logged?,Equip O&M's and Warranties Filed / Logged?,Hard-Copy O&M / Warranty Locations,Record BIM Model Received?,Record As-Builts Doc's Logged (w/ specs),Hard-Copy Record/As-Built Location,COBiE Info Captured?,CM13 Contracts in SharePoint,CM13 CO's in SharePoint,CO's + CCD's in SharePoint,Evidence of Scope Changes to DSA,Minutes in SharePoint (move from CM13??),Photos in SharePoint,Have Items Been transferred to Facilities EDMS,IOR (and DSABox) records in SP,All NOC's in SP (and final releases?),Financial Close-out?,Lessons Learned?,"Maint info ID'd (ie Perm BMPs, SF)",Incorporated into Campus Security Plan,RFIs (move from CM13 to SP?),Submittals?,Project Budget,,Construction Complete?,Date Construction Complete,,S - Ballot Reference #,N - Ballot Reference #,On Both Ballots,,,Proj #
S,City,11140,Land Acquisition (Career Technology Parcel Land $24.M),N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,N/A,N/A,,N/A,,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$24,745,904 ",,N/A,N/A,,N/A,N/A,,1,,11140
S,City,11210,Child Development Center,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,023,185 ",1,Future,19-Aug,,S.II.1,N/A,,,,11210
S,City,11220,Career Technology Center,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-108850,Gold,11-Jan,,,,,,,"City 6, 7, 8, 9, 10, 11",,,City-019; 021; 026-027; 030; 034; 049-050; 057; 059; 096,,75%,83%,,,,,,,,,,,,,,"$63,313,503 ",1,Yes,Apr-10 A,1,S.III.2,N/A,,,,11220
S,City,11410,"""L"" Building Renovation",N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,84%,,,,,,,,,,,,,,,"$9,485,942 ",1,Yes,Apr-09 A,1,S.IV.1,N/A,,,,11410
S,City,11420,"""P"" Building Renovation",N/A,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,Certified,12-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,576,526 ",1,Yes,Dec-09 A,1,S.IV.1,N/A,,,,11420
S,City,11710,"""R"" Building Renovation",N/A,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,Silver,8-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,388,698 ",1,Yes,Aug-07 A,1,N/A,N/A,,1,,11710
S,City,11720,Modular Village,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,446,217 ",1,Yes,Jan-08 A,1,N/A,N/A,,1,,11720
S,City,11810,Land Acquisition + General Purpose Classroom Building (Land $21.8M),N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$80,363,499 ",,Yes,Aug-12 A,,N/A,N/A,,1,,11810
S,Mesa,12130,"Allied Health Building, Parking and Roadwork",N/A,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,Gold,10-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,869,668 ",1,Yes,Aug-09 A,1,S.I.3,N/A,,,,12130
S,Mesa,12210,East Campus Improvement Project and Police Station,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-108059; 04-108072; 04-108993; 04-110263,Gold,10-Feb,,,,,,,Mesa: 27,,,Mesa-065,,47%,,,,,,,,,,,,,,,"$34,963,741 ",1,Yes,Jan-10 A,1,S.II,N/A,,,,12210
S,Mesa,12220,Campus Facilities Support Areas,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,168,253 ",1,Design/Bid,16-Nov,,S.II.5,N/A,,,,12220
S,Mesa,12250,Renovate Visual Arts Program,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-108114,,,,,,,,,,,,,,No,,A,A,No,No,,No,No,,,,,,,"$1,518,626 ",1,Yes,Sep-07 A,1,S.II.5,N/A,,,,12250
S,Mesa,12320,"Humanities, Languages & Multicultural Studies Building",No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-101936,,,,,,,,,Mesa: 29,,,,,,,,,,,,,,,,,,,,"$53,175 ",1,Yes,Feb-03 A,1,S.III.2,N/A,,,,12320
S,Mesa,12410,Student Services Facility,N/A,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-110328 ?,Gold,12-Dec,,,,,,,,,,Mesa - 046; 050--062; 068-073; 094; 097,,,,,,,,,,,,,,,,,"$44,939,067 ",1,Yes,Oct-12 A,1,S.IV,N/A,,,,12410
S,Mesa,12450,Cogeneration Facility,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-106354,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,"$3,696,342 ",1,Yes,Jan-05 A,1,S.IV.5,N/A,,,,12450
S,Mesa,12510,Muir Property Acquisition (Land $12.7M),N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,N/A,N/A,,N/A,,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$17,139,697 ",,N/A,N/A,,N/A,N/A,,1,,12510
S,Mesa,12721,Social Behavioral Science,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112394,Silver,15-May,,,,,,,Mesa: 26,,,Mesa-090-092,,,,,,,,,,,,,,,,,"$40,515,000 ",1,Yes,Aug-14 A,1,S.III.1,N/A,,,,12721; 12723
S,Mesa,12722,Fitness Center,No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-112980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,279,000 ",1,Construction,15-Dec,,S.IV,N/A,,,,12722
S,Miramar,13110,Library/Learning Resource Center - Design,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-109960,Certified,15-May,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,653,044 ",,N/A,N/A,,S.I.1,N/A,,,,13110; 13111
S,Miramar,13120,Science & Technology Building,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,025,573 ",1,Yes,Feb-05 A,1,S.I.2,N/A,,,,13120
S,Miramar,13135,Technology Building - Design,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$760,871 ",,N/A,N/A,,S.I.4,N/A,,,,13135
S,Miramar,13150,Arts & Humanities Building - Design,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-109543,Silver,11-Jul,,,,,,,Miramar: 10,,,,,,,,,,,,,,,,,,,,"$768,040 ",,N/A,N/A,,S.IV.2,N/A,,,,13150
S,Miramar,13210,Hourglass Park Field House,No,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-107167,Certified,9-Dec,,,,,,,"Miramar: 20, 31",,,Miramar-026; 054,,,,,,,,,,,,,,,,,"$22,283,662 ",1,Yes,Mar-09 A,1,S.II.1,N/A,,,,13210
S,Miramar,13230,Computing & Distribution Center & HVAC Upgrade,No,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-104134,,,,,,,,,"Miramar: 27, 28, 32, 33",,,Miramar-053; 058,,,,,,,,,,,,,,,,,"$7,672,189 ",1,Yes,Jul-05 A,1,S.II.3,N/A,,,,13230
S,Miramar,13250,Cogeneration Facility,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,566,965 ",1,Yes,Nov-08 A,1,S.II.5,N/A,,,,13250
S,Miramar,13410,Automotive Technology Career Instructional Building,Yes,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-109997,Gold,12-Apr,,,,,,,Miramar: 19,,,,,,,,,,,,,,,,,,,,"$1,893,176 ",1,Yes,Mar-05 A,1,S.I.3,N/A,,,,13410
S,Miramar,13511,Infrastructure - Phase I,Yes,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-108929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,120,157 ",1,Yes,May-10 A,1,N/A,N/A,x,1,,13511; 13514
S,Miramar,13520,"Construct ""Leave a Legacy Plaza""",N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,311,165 ",1,Yes,Aug-07 A,1,N/A,N/A,,1,,13520
S,Miramar,13530,Boiler Expansion,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,271,840 ",1,Yes,Mar-06 A,1,N/A,N/A,,1,,13530
S,Miramar,13610,Arts Village,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-107973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$465,392 ",1,Yes,Jul-06 A,1,N/A,N/A,,1,,13610
S,Miramar,13620,Reprographic/Mailroom Relocation,N/A,1,TBD,N/A,TBD,TBD,TBD,TBD,TBD,TBD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,120,915 ",1,Yes,Mar-09 A,1,N/A,N/A,,1,,13620
S,CE,14110,ECC - Land Acquisition & Relocation Skills Center,No,1,Yes,N/A,TBD,TBD,TBD,TBD,TBD,TBD,04-107912,Gold,10-Jul,,,,,N/A,N/A,,N/A,N/A,CE-004,N/A,N/A,,95%,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$31,731,930 ",1,Yes,Aug-09 A,1,S.I.1,N/A,,,,14110
S,CE,14210,North City Campus (Land $22M),N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gold,14-Nov,,N/A,,,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$43,432,099 ",,Yes,Aug-13 A,,S.II.1,N/A,,,,14210
